X,Y,Inbetriebn,PLZ,Ort,Strasse,Nennleistu,kWh(2013),kWh(averag,kWh/kW,addrtype,addrlocat
8.10314442297162,49.20777445,03.05.2007,"76829",Landau,"Im Steingebiß,34","7,56","7682","8446,333","1117",building,yes
8.0997741,49.1961988,11.06.2007,"76829",Landau,"Kanalweg,26,a","4,08","4270","4389,833","1075",highway,residential
8.0961956,49.18723875,05.07.2007,"76829",Landau,"Wollmesheimer Straße,45","27,72","24951","28727,167","1036",shop,beverages
8.103897,49.2101446,19.07.2007,"76829",Landau,"Triftweg,24","4,785","4353","4805,333","1004",building,yes
8.088332,49.1898292,31.07.2007,"76829",Landau,"Türkheimer Straße,39","4,6","5001","5417,167","1177",highway,residential
8.11322064832093,49.2064698,02.08.2007,"76829",Landau,"Boelckestraße,22","5,29","5203","5821,667","1100",building,yes
8.12216135,49.1941991,07.08.2007,"76829",Landau,"Vogesenstraße,65","3,15","3218","3576","1135",building,yes
8.0889543,49.1909473,17.08.2007,"76829",Landau,"Oberehnheimer Straße,26","6,02","5708","6371,5","1058",highway,residential
8.14149705,49.20516365,23.08.2007,"76829",Landau,"Münchener Straße,9","21,209","12434","20364,667","960",building,yes
8.0375888,49.1591392,29.08.2007,"76829",Landau,Raiffeisenstr. 8,"8,815","8438","8119,553","921",place,house
8.1549158,49.2228913,30.08.2007,"76829",Landau,Speyerer Straße 17 c,"33,6","31458","34580,836","1029",highway,tertiary
8.088332,49.1898292,09.11.2007,"76829",Landau,"Türkheimer Straße,5","8,695","7429","8120,167","933",highway,residential
8.0996101,49.1949194,13.11.2007,"76829",Landau,"Annweilerstraße,33","8,58","7869","8971,667","1045",highway,tertiary
8.1217906,49.1866561,22.11.2007,"76829",Landau,"Eutzinger Straße,100","3000","15389120","14742026,667","4914",highway,residential
8.0913945,49.1894647,12.12.2007,"76829",Landau,"Kaysersbergstraße,3","4,5","3915","4261,5","947",highway,residential
8.09099744535483,49.194172,18.12.2007,"76829",Landau,"Limburgstraße,44","4,6","4963","4793,833","1042",building,yes
8.13554784764366,49.2053176,19.12.2007,"76829",Landau,"Birkenstraße,37","6","6305","7045,333","1174",building,yes
8.14504602380523,49.2050466,19.12.2007,"76829",Landau,"Leipziger Straße,95","5,5","5533","6043","1098",building,yes
8.0766834,49.1655271,20.12.2007,"76829",Landau,Jakob-Becker-Str. 20 a,"4,44","4672","4021,961","905",highway,residential
8.0757305,49.1678494,21.12.2007,"76829",Landau,Haufenstraße 15,"7,56","5465,712","4472,046","591",highway,residential
8.0996101,49.1949194,21.12.2007,"76829",Landau,"Annweilerstraße,47","4,5","3378","3812,4","847",highway,tertiary
8.08746421716137,49.19467675,21.12.2007,"76829",Landau,"Schlettstadter Straße,45","8","7215","8294,833","1036",building,yes
8.1246391,49.2062657,01.01.2008,"76829",Landau,"Hainbachstraße,68,2","15,4","14515","15538,6","1009",shop,car_repair
8.12395531787846,49.20010045,01.01.2008,"76829",Landau,"Industriestraße,18","5","4182","4299","859",amenity,public_building
